2025-07-30 11:53:39,435 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 11:53:39,564 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 11:53:39,585 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 11:53:42,628 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 11:53:42,629 | MainWindow | ERROR | [11:53:42] Permisos denegados - puerto ocupado
2025-07-30 11:53:44,415 | MainWindow | ERROR | Failed to open COM1: Acceso denegado.
2025-07-30 11:54:30,310 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 11:54:30,473 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 11:54:30,493 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 11:54:32,465 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 11:54:32,467 | MainWindow | ERROR | [11:54:32] Permisos denegados - puerto ocupado
2025-07-30 11:54:35,073 | MainWindow | ERROR | Failed to open COM1: Acceso denegado.
2025-07-30 11:58:55,479 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 11:58:55,600 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 11:58:55,621 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 11:58:57,494 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 11:58:57,496 | MainWindow | ERROR | [11:58:57] Permisos denegados - puerto ocupado
2025-07-30 11:58:59,398 | MainWindow | ERROR | Failed to open COM1: Acceso denegado.
2025-07-30 11:59:02,479 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 11:59:02,480 | MainWindow | ERROR | [11:59:02] Permisos denegados - puerto ocupado
2025-07-30 11:59:03,946 | MainWindow | ERROR | Failed to open COM1: Acceso denegado.
2025-07-30 11:59:54,478 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 11:59:54,607 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 11:59:54,626 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 11:59:57,773 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 11:59:57,774 | MainWindow | ERROR | [11:59:57] Permisos denegados - puerto ocupado
2025-07-30 12:00:00,938 | MainWindow | ERROR | Failed to open COM1: Acceso denegado.
2025-07-30 12:00:13,251 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:00:13,252 | MainWindow | ERROR | [12:00:13] Permisos denegados - puerto ocupado
2025-07-30 12:00:15,080 | MainWindow | ERROR | Failed to open COM2: Acceso denegado.
2025-07-30 12:10:15,576 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:10:15,577 | MainWindow | ERROR | [12:10:15] Permisos denegados - puerto ocupado
2025-07-30 12:10:19,061 | MainWindow | ERROR | Failed to open COM2: Acceso denegado.
2025-07-30 12:10:23,104 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:10:23,109 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 12:10:24,431 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:10:24
2025-07-30 12:13:10,258 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:13:10,392 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:13:10,415 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 12:13:18,953 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:13:18,958 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 12:13:19,853 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:13:19
2025-07-30 12:14:41,519 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:14:41
2025-07-30 12:14:43,960 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:14:43
2025-07-30 12:14:47,931 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:14:47
2025-07-30 12:14:49,495 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:14:49
2025-07-30 12:14:52,667 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:14:52
2025-07-30 12:14:53,565 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:14:53
2025-07-30 12:14:54,658 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:14:54
2025-07-30 12:14:55,322 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:14:55
2025-07-30 12:14:56,164 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:14:56
2025-07-30 12:14:56,763 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:14:56
2025-07-30 12:14:57,401 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:14:57
2025-07-30 12:14:57,974 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:14:57
2025-07-30 12:14:58,537 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:14:58
2025-07-30 12:14:58,980 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:14:58
2025-07-30 12:14:59,812 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:14:59
2025-07-30 12:15:00,439 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:15:00
2025-07-30 12:15:01,105 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:15:01
2025-07-30 12:21:00,909 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:21:01,028 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:21:01,049 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 12:23:00,096 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:23:00,103 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 12:23:00,973 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:23:00
2025-07-30 12:28:10,644 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:28:10,745 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:28:10,763 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 12:39:51,411 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:39:51,517 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:39:51,539 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 12:39:54,106 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:39:54,111 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 12:39:55,411 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:39:55
2025-07-30 12:40:21,217 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:40:21,331 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:40:21,350 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 12:40:28,015 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:40:28,021 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 12:40:29,326 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:40:29
2025-07-30 12:40:32,131 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:40:32
2025-07-30 12:40:33,032 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:40:33
2025-07-30 12:40:34,077 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:40:34
2025-07-30 12:40:34,933 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:40:34
2025-07-30 12:40:35,707 | main.views.pnl_ctrl | INFO | Programa detenido a las 12:40:35
